,name,IPC,L2C,L1D,LLC
0,600.perlbench_s-1273B.champsimtrace.xz,2.71266,0.363330933525318,0.9996959839512856,0.0007532956685499058
1,602.gcc_s-1850B.champsimtrace.xz,0.424955,0.2515058194077497,0.8099396786048022,0.015337229872582502
2,603.bwaves_s-2931B.champsimtrace.xz,0.65383,0.3206091029637156,0.8558335690186465,0.36198960417921694
3,605.mcf_s-1536B.champsimtrace.xz,0.341238,0.24932837674114097,0.5858285869384527,0.49543070723835564
4,607.cactuBSSN_s-2421B.champsimtrace.xz,1.87456,0.32065300457284956,0.5194664115619639,0.9509401042707456
5,619.lbm_s-2676B.champsimtrace.xz,0.245983,0.11279820927267097,0.06493436141449062,0.6658189400624782
6,620.omnetpp_s-141B.champsimtrace.xz,0.460581,0.2794470308651547,0.9053203629709674,0.4409743947143221
7,621.wrf_s-575B.champsimtrace.xz,1.82424,0.4199438202247191,0.9996669707921012,0.0
8,623.xalancbmk_s-165B.champsimtrace.xz,1.70928,0.20082028368406785,0.7434445821487901,0.9985461791853871
9,625.x264_s-12B.champsimtrace.xz,2.79189,0.41571828636119884,0.9956830200981442,0.11484790683666299
10,627.cam4_s-490B.champsimtrace.xz,1.8387,0.3911256571062594,0.5744015284179832,0.8236096997124124
11,628.pop2_s-17B.champsimtrace.xz,2.21705,0.5500368521386696,0.7471998540513504,0.7786230170267733
12,631.deepsjeng_s-928B.champsimtrace.xz,1.31602,0.7238884175857079,0.9910906555094187,0.3217717717717718
13,638.imagick_s-10316B.champsimtrace.xz,3.83259,0.9953222907987105,0.7389946236864959,0.06282973621103118
14,641.leela_s-149B.champsimtrace.xz,1.26748,0.6316932775760877,0.9347815484760367,0.8232173264470369
15,644.nab_s-12459B.champsimtrace.xz,1.68123,0.9145329030221829,0.9638117541983916,0.7331639869526311
16,648.exchange2_s-387B.champsimtrace.xz,1.27632,0.9511973325250076,0.9999413768165317,0.0
17,649.fotonik3d_s-1176B.champsimtrace.xz,1.19574,0.5417562289488908,0.8124390933428912,0.5203603477469515
18,654.roms_s-293B.champsimtrace.xz,1.61715,0.2856951150974342,0.729281120441481,0.5872018731950406
19,657.xz_s-4994B.champsimtrace.xz,1.74762,0.6199890599359225,0.9874129259174139,0.16770584999083074
20,geomean,1.252213494022529,0.41330643345111995,0.7229202985987473,0.2959689376054513
