,name,IPC,L2C,L1D,LLC
0,600.perlbench_s-1273B.champsimtrace.xz,2.71266,0.363330933525318,0.9996959839512856,0.00037678975131876413
1,602.gcc_s-1850B.champsimtrace.xz,0.425232,0.2613009438551623,0.8099497979126049,0.002474329392859184
2,603.bwaves_s-2931B.champsimtrace.xz,0.701592,0.35590408569747883,0.8584273197599902,0.34874288721853347
3,605.mcf_s-1536B.champsimtrace.xz,0.34086,0.4713985899067228,0.586193074994578,0.4128913557247442
4,607.cactuBSSN_s-2421B.champsimtrace.xz,2.06677,0.9457049528005949,0.58926274326488,0.45365885085117025
5,619.lbm_s-2676B.champsimtrace.xz,0.245053,0.6665013908850407,0.06634472939590437,0.4468016172286582
6,620.omnetpp_s-141B.champsimtrace.xz,0.459247,0.4292142543328491,0.9054583417625758,0.3821447401823898
7,621.wrf_s-575B.champsimtrace.xz,1.82424,0.4199438202247191,0.9996669707921012,0.0
8,623.xalancbmk_s-165B.champsimtrace.xz,1.10336,0.0006315506301845473,0.7353869683163202,0.3085528936556202
9,625.x264_s-12B.champsimtrace.xz,2.79188,0.2939879640112018,0.9956788877631672,0.2649437265527303
10,627.cam4_s-490B.champsimtrace.xz,1.75565,0.5462680178662724,0.5433451775725421,0.6858910449556749
11,628.pop2_s-17B.champsimtrace.xz,2.20291,0.6762789750322739,0.7564962345102617,0.7124028655487684
12,631.deepsjeng_s-928B.champsimtrace.xz,1.31545,0.7608476874069515,0.9911490627695181,0.27413922155688625
13,638.imagick_s-10316B.champsimtrace.xz,3.83263,0.9956161900338993,0.7391523852232581,0.0
14,641.leela_s-149B.champsimtrace.xz,1.26834,0.7022631257306834,0.9349263376570319,0.8146281617090677
15,644.nab_s-12459B.champsimtrace.xz,1.68085,0.9136466030472937,0.9637636930767345,0.7329327131424609
16,648.exchange2_s-387B.champsimtrace.xz,1.27632,0.9511973325250076,0.9999413768165317,0.0
17,649.fotonik3d_s-1176B.champsimtrace.xz,1.21003,0.6017486553171163,0.822769085332634,0.4998460334803048
18,654.roms_s-293B.champsimtrace.xz,1.4776,0.39989978664252923,0.7377282660779312,0.555891061113237
19,657.xz_s-4994B.champsimtrace.xz,1.74786,0.6430162141043172,0.9874165179544522,0.11305452413523549
20,geomean,1.2269540895158766,0.39574836918136147,0.7273356533147877,0.26090182676696017
